n_vehicles,variant,acceptance_rate,vehicle_km,avg_wait
5,FullModel,0.165,338.4674,556.9285
5,DoorToDoor,0.405,1193.7519,4783.2784
10,FullModel,0.175,360.0768,460.1306
10,DoorToDoor,0.635,1931.6403,5662.654
15,FullModel,0.2,462.0403,511.2331
15,DoorToDoor,0.58,1693.7531,5822.0707
20,FullModel,0.215,490.0555,544.8974
20,DoorToDoor,0.59,1732.5464,5726.1834
25,FullModel,0.235,548.8218,468.9243
25,DoorToDoor,0.775,2321.151,5455.2483
30,FullModel,0.24,525.364,454.7198
30,DoorToDoor,0.715,1912.0498,4928.5086
