parameter_setting_id,method_label,served_share_mean,behavioral_acceptance_rate_mean,choice_rejection_rate_mean,feasibility_rejection_rate_mean,total_vehicle_km_mean,vkm_per_served_trip_mean,vkm_per_original_request_mean,avg_wait_mean,avg_walk_mean,avg_ivt_mean,runtime_s_mean
baseline_default,BidirectionalMP_Choice_RH_ALNS,0.1492777777777778,0.4918888888888889,0.5081111111111112,0.3426111111111111,316.1783670657677,10.504587110856269,1.5217012761726825,411.5835473966383,131.19366805189753,1002.4078702440305,5.369617313348377
baseline_default,DoorToDoor_Choice_CommonRouting,0.2061111111111111,0.4235,0.5765,0.21738888888888888,614.2002993497753,15.706705524772218,3.0750399611748973,3150.93426363063,0.0,5774.071722661653,1.154690553356583
ivt_disutility_high,BidirectionalMP_Choice_RH_ALNS,0.12200000000000001,0.47227777777777774,0.5277222222222222,0.35027777777777774,251.04044760626624,10.065875213108914,1.195539423379292,422.72551758915773,171.60682365632994,1012.807572843565,3.960504046610246
ivt_disutility_high,DoorToDoor_Choice_CommonRouting,0.17283333333333334,0.3953888888888889,0.6046111111111111,0.22255555555555556,530.6976237985866,16.085138912884368,2.6481522150684618,2645.732568004677,0.0,4864.181286286475,0.8598839433398098
outside_option_high,BidirectionalMP_Choice_RH_ALNS,0.06744444444444445,0.4682777777777778,0.5317222222222222,0.4008333333333333,147.5917508457842,10.38584894109791,0.6724806197357303,387.23952709562246,346.059348354818,1078.222926819785,1.8865189199956756
outside_option_high,DoorToDoor_Choice_CommonRouting,0.0925,0.41894444444444445,0.5810555555555557,0.3264444444444444,324.821168385218,16.62932965381965,1.5490842820370814,2101.3549895123106,0.0,3846.738439080983,0.3646499200258404
service_asc_low,BidirectionalMP_Choice_RH_ALNS,0.06744444444444445,0.4682777777777778,0.5317222222222222,0.4008333333333333,147.5917508457842,10.38584894109791,0.6724806197357303,387.23952709562246,346.059348354818,1078.222926819785,1.8869720866593223
service_asc_low,DoorToDoor_Choice_CommonRouting,0.0925,0.41894444444444445,0.5810555555555557,0.3264444444444444,324.821168385218,16.62932965381965,1.5490842820370814,2101.3549895123106,0.0,3846.738439080983,0.3658102999286105
wait_disutility_high,BidirectionalMP_Choice_RH_ALNS,0.14049999999999999,0.4698888888888889,0.5301111111111111,0.32938888888888884,298.53103865013065,10.456166919271626,1.4361209730193631,418.8130091556952,155.06289956572007,1007.4909502876686,4.681695966686433
wait_disutility_high,DoorToDoor_Choice_CommonRouting,0.192,0.40661111111111115,0.5933888888888889,0.2146111111111111,594.5028136155963,16.08703118782652,2.947997190187967,3083.348750027679,0.0,5705.606749717142,0.9789594667187581
walk_disutility_high,BidirectionalMP_Choice_RH_ALNS,0.14905555555555555,0.4917777777777778,0.5082222222222222,0.3427222222222222,315.6407549125873,10.507072244070297,1.5199092356620811,411.5065604784978,132.26613540124526,1007.7255380238694,5.292397986678407
walk_disutility_high,DoorToDoor_Choice_CommonRouting,0.2061111111111111,0.4235,0.5765,0.21738888888888888,614.2002993497753,15.706705524772218,3.0750399611748973,3150.93426363063,0.0,5774.071722661653,1.1434097199700772
walk_sensitive_majority,BidirectionalMP_Choice_RH_ALNS,0.16494444444444445,0.48944444444444446,0.5105555555555555,0.32449999999999996,336.94753735227806,10.406562252824502,1.670941430636792,409.7852112182539,118.21523434318813,977.5973790681378,5.86831958006757
walk_sensitive_majority,DoorToDoor_Choice_CommonRouting,0.2283888888888889,0.4643333333333333,0.5356666666666666,0.23594444444444443,662.5336604848161,15.03648078856288,3.4300056353457617,3879.8472074865413,0.0,6209.417894009783,1.4579320632852615
