passenger_type,metric,n_valid_pairs,mean_full_minus_door_to_door,min_full_minus_door_to_door,max_full_minus_door_to_door
price_sensitive,served_share,30,-0.06157883292706654,-0.1578947368421053,0.0526315789473684
price_sensitive,type_level_acceptance_rate,30,-0.06157883292706654,-0.1578947368421053,0.0526315789473684
price_sensitive,avg_wait,30,-2852.029543547462,-7666.885046492407,286.137498312698
price_sensitive,avg_walk,30,177.11474593991042,0.0,2074.026536634389
price_sensitive,avg_ivt,30,-4795.996244648195,-9405.261581046077,1747.925543644782
time_sensitive,served_share,30,-0.011613598673300177,-0.11111111111111119,0.059701492537313404
time_sensitive,type_level_acceptance_rate,30,-0.011613598673300177,-0.11111111111111119,0.059701492537313404
time_sensitive,avg_wait,30,-2901.6417169113765,-11739.371652308992,380.090853432857
time_sensitive,avg_walk,30,131.1302508116801,0.0,1364.4279925619153
time_sensitive,avg_ivt,30,-3321.35346752656,-14861.584385958387,158.2448545627501
walk_sensitive,served_share,30,-0.10538911381016645,-0.3076923076923077,0.05000000000000002
walk_sensitive,type_level_acceptance_rate,30,-0.10538911381016645,-0.3076923076923077,0.05000000000000002
walk_sensitive,avg_wait,30,-2664.3927079458613,-8919.220224390658,74.60022177677985
walk_sensitive,avg_walk,30,71.93933147126582,0.0,499.6773218108614
walk_sensitive,avg_ivt,30,-4973.523549855562,-8826.78076695536,-361.5390610224001
