gamma,seed,served_share,vkm_per_served_trip,social_welfare
0,42,0.16,8.7528,-2251.1107
0,43,0.18,10.953,-2914.4215
0,44,0.21,9.9731,-3184.862
5,42,0.16,8.7528,-3091.1107
5,43,0.18,10.953,-3734.4215
5,44,0.21,9.9731,-3974.862
10,42,0.16,8.7528,-3931.1107
10,43,0.18,10.953,-4554.4215
10,44,0.21,9.9731,-4764.862
20,42,0.16,8.7528,-5611.1107
20,43,0.18,10.953,-6194.4215
20,44,0.21,9.9731,-6344.862
50,42,0.16,8.7528,-10651.1107
50,43,0.18,10.953,-11114.4215
50,44,0.21,9.9731,-11084.862
100,42,0.16,8.7528,-19051.1107
100,43,0.18,10.953,-19314.4215
100,44,0.21,9.9731,-18984.862
